,Compañía,permanencia,Gigas_móvil,Megas_fibra,€/mes
0,eurona,12 meses,9GB,50Mb,"29,00"
1,alterna,12 meses,5GB,100Mb,"29,95"
2,Lowi,3 meses,10GB+25GB,100Mb,"29,95"
3,o2,Sin permanencia.,10GB,100Mb,"30,00"
4,finetwork,Sin permanencia.,6GB,100Mb,"34,70"
5,finetwork,Sin permanencia.,24GB,300Mb,"34,90"
6,alterna,12 meses,25GB,100Mb,"34,95"
7,Lowi,3 meses,25GB+25GB,300Mb,"34,95"
8,llamaya,12 meses,20GB,50Mb,"35,00"
9,Lowi,3 meses,10GB+15GB+25GB,100Mb,"35,90"
10,o2,Sin permanencia.,25GB,300Mb,"38,00"
11,68x48pepephone,Sin permanencia.,23GB,300Mb,"38,90"
12,eurona,12 meses,20GB,100Mb,"39,00"
13,finetwork,Sin permanencia.,12GB,300Mb,"39,90"
14,finetwork,Sin permanencia.,25GB,600Mb,"39,90"
15,masmovil,3 meses,25GB,100Mb,"39,90"
16,alterna,12 meses,35GB,100Mb,"39,95"
17,alterna,12 meses,5GB,600Mb,"39,95"
18,Lowi,3 meses,30GB+25GB,600Mb,"39,95"
19,jazztel,12 meses,16GB,300Mb,"39,95"
20,jazztel,12 meses,25GB,300Mb,"39,95"
21,68x48pepephone,Sin permanencia.,23GB,300Mb,"43,90"
22,o2,Sin permanencia.,30GB,500Mb,"44,00"
23,masmovil,3 meses,35GB,100Mb,"39,90"
24,finetwork,Sin permanencia.,35GB,600Mb,"44,90"
25,Lowi,3 meses,25GB+25GB,300Mb,"44,90"
26,alterna,12 meses,25GB,600Mb,"44,95"
27,llamaya,12 meses,20GB,300Mb,"35,00"
